data_pregao,codigo_bdi,codigo_negociacao,tipo_mercado,nome_empresa,especificacao_papel,moeda,preco_abertura,preco_maximo,preco_minimo,preco_medio,preco_ultimo,preco_melhor_oferta_compra,preco_melhor_oferta_venda,numero_negocios,quantidade_total,volume_total
20030212,96,BRTO4F,020,BRASIL TELEC,PN *EJ  N1,R$,9.98,10.0,9.81,9.9,9.88,9.88,10.14,33,730683,7240.35
20030212,96,BRTO3F,020,BRASIL TELEC,ON *EJ  N1,R$,9.75,9.75,9.4,9.62,9.4,9.4,10.0,12,339341,3266.87
20030212,96,BRKM5F,020,BRASKEM,PNA*,R$,170.0,170.0,169.5,169.7,169.5,167.01,170.95,4,5143,872.81
20030212,02,BRKM5,010,BRASKEM,PNA*,R$,172.0,173.99,166.0,168.62,168.0,168.0,168.6,75,4150000,699802.3
20030212,96,BRIV3F,020,ALFA INVEST,ON,R$,3.4,3.4,3.4,3.4,3.4,3.4,0.0,1,444,1509.6
20030212,96,BRGE12F,020,ALFA CONSORC,PNF,R$,1.75,1.75,1.75,1.75,1.75,1.75,0.0,1,792,1386.0
20030212,96,BRGE11F,020,ALFA CONSORC,PNE,R$,1.81,1.81,1.81,1.81,1.81,1.8,0.0,1,800,1448.0
20030212,96,BRGE8F,020,ALFA CONSORC,PND,R$,1.7,1.7,1.7,1.7,1.7,1.7,0.0,1,18,30.6
20030212,96,BRGE6F,020,ALFA CONSORC,PNB,R$,1.76,1.77,1.76,1.76,1.76,1.75,0.0,3,920,1622.8
20030212,02,BSUL6,010,BAHIA SUL,PNB*,R$,330.0,330.0,330.0,330.0,330.0,0.0,0.0,1,110000,36300.0
20030212,96,BRTP4F,020,BRASIL T PAR,PN *EJ  N1,R$,17.12,17.6,17.12,17.29,17.33,17.16,17.78,26,623782,10777.79
20030212,96,BRTP3F,020,BRASIL T PAR,ON *EJ  N1,R$,12.2,13.3,12.2,12.94,12.9,12.8,13.25,28,806970,10445.29
20030212,02,CCRO3,010,CCR RODOVIAS,ON      NM,R$,7.41,7.41,7.3,7.4,7.3,7.11,7.4,5,34000,251600.0
20030212,96,CEPE6F,020,CELPE,PNB*,R$,5.5,5.5,5.5,5.5,5.5,5.0,0.0,1,50000,275.0
20030212,02,CEPE6,010,CELPE,PNB*,R$,5.75,5.75,5.75,5.75,5.75,5.75,0.0,2,1400000,8050.0
20030212,02,CEPE5,010,CELPE,PNA*,R$,5.7,5.7,5.7,5.7,5.7,5.7,6.29,1,1000000,5700.0
20030212,02,CEBR6,010,CEB,PNB*,R$,8.75,8.8,8.75,8.76,8.8,8.75,15.39,3,410000,3595.5
20030212,02,CEBR5,010,CEB,PNA*,R$,20.5,20.5,20.5,20.5,20.5,18.0,20.0,1,200000,4100.0
20030212,96,CHAP4F,020,CHAPECO,PN,R$,0.21,0.25,0.21,0.21,0.25,0.21,0.25,2,1043,221.43
20030212,02,CHAP4,010,CHAPECO,PN,R$,0.25,0.25,0.25,0.25,0.25,0.25,0.31,1,1000,250.0
20030212,96,CHAP3F,020,CHAPECO,ON,R$,0.21,0.21,0.21,0.21,0.21,0.23,0.25,1,13,2.73
20030212,02,CHAP3,010,CHAPECO,ON,R$,0.24,0.24,0.24,0.24,0.24,0.24,0.25,2,5000,1200.0
20030212,96,CGAS5F,020,COMGAS,PNA*,R$,44.0,44.0,43.5,43.89,43.5,43.5,49.0,10,20417,896.11
20030212,02,CGAS5,010,COMGAS,PNA*,R$,44.4,45.4,43.23,44.18,44.02,44.02,44.89,88,13690000,604850.3
20030212,96,CESP4F,020,CESP,PN *,R$,6.06,6.36,6.06,6.19,6.36,6.29,6.81,6,183612,1137.08
20030212,02,CESP4,010,CESP,PN *,R$,6.45,6.45,6.26,6.35,6.26,6.25,6.26,103,125500000,797427.0
20030212,02,CESP3,010,CESP,ON *,R$,6.09,6.09,6.0,6.03,6.09,5.86,6.1,4,36500000,220395.0
20030212,96,CMIG4F,020,CEMIG,PN *    N1,R$,24.8,24.89,24.07,24.48,24.07,24.4,24.6,28,644000,15763.54
20030212,96,CMIG3F,020,CEMIG,ON *    N1,R$,20.9,21.1,20.8,20.91,21.1,20.9,21.8,4,105734,2211.78
